Date,Price,Open,High,Low,Vol,Change %
6/23/2019,0.4702,0.4771,0.4922,0.4653,21300000000,-1.45%
6/22/2019,0.4771,0.4432,0.5055,0.4402,32400000000,7.65%
6/21/2019,0.4432,0.4298,0.4474,0.4297,15000000000,3.10%
6/20/2019,0.4299,0.4342,0.4352,0.4207,12500000000,-1.00%
6/19/2019,0.4342,0.4272,0.4379,0.4243,12300000000,1.63%
6/18/2019,0.4272,0.4472,0.4547,0.4202,20300000000,-4.49%
6/17/2019,0.4473,0.4275,0.4604,0.4261,20300000000,4.63%
6/16/2019,0.4275,0.4095,0.4404,0.4068,18400000000,4.40%
6/15/2019,0.4095,0.4019,0.412,0.4004,12700000000,1.85%
6/14/2019,0.402,0.3988,0.403,0.3908,11100000000,0.81%
6/13/2019,0.3988,0.4006,0.408,0.3955,11200000000,-0.47%
6/12/2019,0.4007,0.392,0.4009,0.3875,12200000000,2.20%
6/11/2019,0.3921,0.4,0.4018,0.3826,12200000000,-2.00%
6/10/2019,0.4,0.3854,0.403,0.3806,14000000000,3.78%
6/9/2019,0.3855,0.4072,0.4103,0.3723,14700000000,-5.34%
6/8/2019,0.4072,0.4197,0.422,0.4026,10300000000,-2.98%
6/7/2019,0.4197,0.4194,0.43,0.4143,13800000000,0.09%
6/6/2019,0.4193,0.4004,0.4229,0.3913,18000000000,4.73%
6/5/2019,0.4004,0.3984,0.4056,0.3882,16200000000,0.51%
6/4/2019,0.3984,0.4181,0.4188,0.3853,24400000000,-4.71%
6/3/2019,0.418,0.444,0.4634,0.418,23800000000,-5.85%
6/2/2019,0.444,0.4289,0.4466,0.4279,12500000000,3.52%
6/1/2019,0.4289,0.4384,0.4412,0.4196,14700000000,-2.16%
5/31/2019,0.4384,0.4184,0.4405,0.4081,19600000000,4.78%
5/30/2019,0.4184,0.4428,0.4723,0.4029,32700000000,-5.50%
5/29/2019,0.4428,0.4486,0.456,0.4211,21000000000,-1.31%
5/28/2019,0.4486,0.4336,0.4573,0.4191,23200000000,3.50%
5/27/2019,0.4334,0.4047,0.4454,0.4032,21400000000,7.12%
5/26/2019,0.4046,0.3854,0.4092,0.3756,15400000000,5.00%
5/25/2019,0.3854,0.3829,0.3919,0.3808,12000000000,0.65%
5/24/2019,0.3829,0.3797,0.3916,0.3718,17200000000,0.83%
5/23/2019,0.3797,0.3731,0.3825,0.3635,15400000000,1.78%
5/22/2019,0.3731,0.3954,0.4091,0.3693,18800000000,-5.65%
5/21/2019,0.3954,0.3955,0.4054,0.3873,15400000000,-0.02%
5/20/2019,0.3955,0.4154,0.4154,0.3814,21000000000,-4.79%
5/19/2019,0.4154,0.3719,0.4248,0.3708,25800000000,11.68%
5/18/2019,0.3719,0.3881,0.3929,0.3657,18100000000,-4.15%
